id,category
945360,Online PvPLAN | PvPOnline Co-opLAN | Co-opCross-Platform Multiplayer Remote | Play on | Phone Remote Play | on Tablet
730,Steam Achievements Full | controller supportSteam | Trading Cards Steam | Workshop In-App Purchases Valve | Anti-Cheat enabledStats Remote | Play on | Phone Remote Play | on Tablet Remote | Play on
1097150,MMOOnline PvPOnline | Co-opSteam Achievements Full | controller supportIn-App | Purchases Remote Play | on Phone Remote | Play on
1158310,Single-playerOnline PvPSteam | Achievements Steam Trading | Cards Steam Workshop Steam
1085660,Single-playerOnline PvPOnline | Co-opSteam Achievements Full | controller supportIn-App | Purchases Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TVRequires | agreement to | a 3rd-party | EULADestiny 2
1145360,Single-playerFull controller | supportSteam Trading | Cards Captions availableSteam | Cloud Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TV
1172620,Online PvPOnline | Co-opCross-Platform Multiplayer Steam | Achievements Steam Trading | Cards In-App Purchases Partial | Controller Support Remote | Play on | Phone Remote Play | on Tablet Requires | 3rd-Party Account: Xbox | Live (Supports Linking | to Steam
359550,Single-playerOnline PvPOnline | Co-opSteam Trading | Cards In-App Purchases Partial | Controller Support Remote | Play on | Phone Remote Play | on Tablet Requires | 3rd-Party Account: Ubisoft | Account (Supports Linking | to Steam | Account)Requires agreement | to a | 3rd-party EULATom | Clancy's Rainbow | Six® Siege
570,Steam Trading | Cards Steam Workshop SteamVR | Collectibles In-App Purchases Valve | Anti-Cheat enabled
230410,Single-playerSteam Trading | Cards In-App Purchases Partial | Controller Support Remote | Play on | Phone Remote Play | on Tablet Requires | 3rd-Party Account: Warframe
306130,MMOSteam Trading | Cards Partial Controller | Support Remote Play | on Tablet Requires | 3rd-Party Account: Elder | Scrolls Online | Account (Supports Linking | to Steam
238960,Single-playerMMOOnline PvPSteam | Achievements Steam Trading | Cards In-App Purchases Remote | Play on | Tablet Requires agreement | to a | 3rd-party EULAPath | of Exile | EULA 1
397540,Single-playerOnline Co-opLAN | Co-opCross-Platform Multiplayer Steam | Achievements Full controller | supportSteam Trading | Cards Steam Cloud Remote | Play on | Phone Remote Play | on Tablet Remote | Play on | TVIncorporates 3rd-party | DRM: Denuvo | Anti-tamper5 Activations | per 24 | hours machine | activation limitRequires
1129580,Single-playerFull controller
381210,Online PvPOnline | Co-opSteam Achievements Full | controller supportSteam | Trading Cards Steam | Cloud Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TVRequires | agreement to | a 3rd-party | EULADead by | Daylight EULA
1250410,Single-playerSteam Achievements Full | controller supportIn-App | Purchases Requires 3rd-Party | Account: Xbox Live 
271590,Single-playerSteam Achievements Full | controller supportRemote | Play on | Phone Remote Play | on Tablet Remote | Play on | TVRequires 3rd-Party | Account: Rockstar Games | Social Club 
39210,Single-playerMMOOnline PvPOnline | Co-opCross-Platform Multiplayer Partial | Controller Support Remote | Play on
582660,MMOOnline PvPOnline | Co-opSteam Trading | Cards In-App Purchases Partial | Controller Support Requires | 3rd-Party Account: Black | Desert Online 
