id,age_limit,pegi_tags
945360,null,
730,null,
1097150,null,
1158310,m,Blood| LanguagePartial| Nudity| Sexual| Themes| Use| of| Drugs| Violence
1085660,m,Blood| Language| Violence
1145360,null,
1172620,m,Violence| Use| of| Alcohol| Crude| Humor
359550,m,Blood| Drug| Reference| Strong| Language| Violence
570,null,
230410,m,"Violence,| Blood"
306130,m,Blood| and| Gore| Sexual| Themes| Use| of| Alcohol| Violence
238960,null,
397540,m,Blood| and| Gore| Intense| Violence| Sexual| Themes| Strong| Language
1129580,null,
381210,m,Blood| and| Gore| Intense| Violence| Strong| Language
1250410,null,
271590,m,Intense| Violence| Blood| and| Gore| NudityMature| Humor| Strong| Language| Strong| Sexual| Content| Use| of| Drugs| and| Alcohol
39210,m,Language| Sexual| Themes| Partial| Nudity| Use| of| Alcohol| and| Tobacco| ViolenceBlood
582660,null,
412020,m,"Blood| and| Gore,| Intense| Violence,| Partial| Nudity,| Sexual| Themes,| Strong| Language,| Use| of| Drugs"
440900,null,
236390,null,
548430,null,
252490,null,
971996,null,
440,null,
976730,m,Blood| and| Gore| ViolenceLanguage
945360,null,
730,null,
1097150,null,
1158310,m,Blood| LanguagePartial| Nudity| Sexual| Themes| Use| of| Drugs| Violence
1085660,m,Blood| Language| Violence
1145360,null,
1172620,m,Violence| Use| of| Alcohol| Crude| Humor
359550,m,Blood| Drug| Reference| Strong| Language| Violence
570,null,
230410,m,"Violence,| Blood"
306130,m,Blood| and| Gore| Sexual| Themes| Use| of| Alcohol| Violence
238960,null,
397540,m,Blood| and| Gore| Intense| Violence| Sexual| Themes| Strong| Language
1129580,null,
381210,m,Blood| and| Gore| Intense| Violence| Strong| Language
1250410,null,
271590,m,Intense| Violence| Blood| and| Gore| NudityMature| Humor| Strong| Language| Strong| Sexual| Content| Use| of| Drugs| and| Alcohol
39210,m,Language| Sexual| Themes| Partial| Nudity| Use| of| Alcohol| and| Tobacco| ViolenceBlood
582660,null,
412020,m,"Blood| and| Gore,| Intense| Violence,| Partial| Nudity,| Sexual| Themes,| Strong| Language,| Use| of| Drugs"
440900,null,
236390,null,
548430,null,
252490,null,
971996,null,
440,null,
976730,m,Blood| and| Gore| ViolenceLanguage
1056640,m,Blood| Partial| Nudity| Strong| Language| ViolenceInteractive| Elements| In-Game| Purchases
1174180,m,Blood| and| Gore| Intense| Violence| NuditySexual| Content| Strong| Language| Use| of| Drugs| and| Alcohol| Interactive| Elements| In-Game| Purchases| Users| Interact
289070,m,Drug| Reference| LanguageMild| Violence| Suggestive| Themes
386360,m,Alcohol| Reference| Fantasy| Violence| Blood
1307550,null,
582010,m,Blood| Mild| Language| Use| of| Alcohol| Violence
275850,m,Fantasy| Violence| Animated| Blood
1041720,m,Blood| and| Gore| Intense| Violence| Suggestive| Themes
997070,m,Language| Mild| Blood| Violence
632360,m,Blood| Drug| Reference| Fantasy| Violence| Interactive| Elements| Users| Interact
962130,m,Blood| ViolenceLanguage| Interactive| Elements| Users| Interact
629760,null,
1151640,m,Blood| Drug| Reference| LanguageMild| Sexual| Themes| Violence
221100,m,Intense| Violence| Blood
427520,null,
1222670,m,Violence| Sexual| Themes| Crude| Humor
1286830,m,Blood| and| Gore| Mild| Language| Sexual| Themes| ViolenceInteractive| Elements| In-Game| Purchases
489830,m,"Blood| and| Gore,| Intense| Violence,| Sexual| Themes,| Use| of| Alcohol"
1016120,null,
346110,m,Blood| Crude| Humor| Use| of| Alcohol| Violence
1206200,null,
526870,null,
945360,null,
730,null,
1097150,null,
1158310,m,Blood| LanguagePartial| Nudity| Sexual| Themes| Use| of| Drugs| Violence
1085660,m,Blood| Language| Violence
1145360,null,
1172620,m,Violence| Use| of| Alcohol| Crude| Humor
359550,m,Blood| Drug| Reference| Strong| Language| Violence
570,null,
230410,m,"Violence,| Blood"
306130,m,Blood| and| Gore| Sexual| Themes| Use| of| Alcohol| Violence
238960,null,
397540,m,Blood| and| Gore| Intense| Violence| Sexual| Themes| Strong| Language
1129580,null,
381210,m,Blood| and| Gore| Intense| Violence| Strong| Language
1250410,null,
271590,m,Intense| Violence| Blood| and| Gore| NudityMature| Humor| Strong| Language| Strong| Sexual| Content| Use| of| Drugs| and| Alcohol
39210,m,Language| Sexual| Themes| Partial| Nudity| Use| of| Alcohol| and| Tobacco| ViolenceBlood
582660,null,
412020,m,"Blood| and| Gore,| Intense| Violence,| Partial| Nudity,| Sexual| Themes,| Strong| Language,| Use| of| Drugs"
440900,null,
236390,null,
548430,null,
252490,null,
971996,null,
440,null,
976730,m,Blood| and| Gore| ViolenceLanguage
1056640,m,Blood| Partial| Nudity| Strong| Language| ViolenceInteractive| Elements| In-Game| Purchases
1174180,m,Blood| and| Gore| Intense| Violence| NuditySexual| Content| Strong| Language| Use| of| Drugs| and| Alcohol| Interactive| Elements| In-Game| Purchases| Users| Interact
289070,m,Drug| Reference| LanguageMild| Violence| Suggestive| Themes
386360,m,Alcohol| Reference| Fantasy| Violence| Blood
1307550,null,
582010,m,Blood| Mild| Language| Use| of| Alcohol| Violence
275850,m,Fantasy| Violence| Animated| Blood
1041720,m,Blood| and| Gore| Intense| Violence| Suggestive| Themes
997070,m,Language| Mild| Blood| Violence
632360,m,Blood| Drug| Reference| Fantasy| Violence| Interactive| Elements| Users| Interact
962130,m,Blood| ViolenceLanguage| Interactive| Elements| Users| Interact
629760,null,
1151640,m,Blood| Drug| Reference| LanguageMild| Sexual| Themes| Violence
221100,m,Intense| Violence| Blood
427520,null,
1222670,m,Violence| Sexual| Themes| Crude| Humor
1286830,m,Blood| and| Gore| Mild| Language| Sexual| Themes| ViolenceInteractive| Elements| In-Game| Purchases
489830,m,"Blood| and| Gore,| Intense| Violence,| Sexual| Themes,| Use| of| Alcohol"
1016120,null,
346110,m,Blood| Crude| Humor| Use| of| Alcohol| Violence
1206200,null,
526870,null,
255710,null,
431960,null,
311210,m,Blood| and| Gore| Drug| Reference| Intense| Violence| Strong| Language
294100,null,
1286350,null,
1151340,m,Blood| and| Gore| Drug| Reference| Intense| Violence| Strong| Language| Suggestive| Themes| Use| of| Alcohol| Interactive| Elements| Users| Interact| In-Game| Purchases
552990,m,"Violence•| Mostly| realistic| setting•| Photo-realistic| depictionViolence| Against| Non-Humans•| Violence| is| often| depicted| from| a| distance•| Violence| is| rarely| depicted| close-up•| No| blood| and| goreLanguage•| Minor| profanities| (e.g.| ""damn"";| ""hell"")Interactive| Elements| Users| Interact| In-Game| Purchases"
594570,m,"Alcohol| Reference,| Blood,| Mild| Language,| Mild| Suggestive| Themes,| Violence"
578080,m,Violence| BloodUsers| Interact
286160,null,
719040,null,
952060,null,
413150,m,Fantasy| Violence| Mild| Blood| Mild| Language| Use| of| Alcohol| and| Tobacco| Simulated| Gambling
794260,null,
377160,m,"Blood| and| Gore,| Intense| Violence,| Strong| Language,| Use| of| Drugs"
946430,null,
242760,null,
291550,m,Fantasy| Violence
620980,null,
251570,null,
105600,null,
780290,null,
1089980,null,
435150,null,
1118010,m,Blood| Mild| Language| Use| of| Alcohol| Violence
648800,null,
550,null,
1091500,m,Blood| and| Gore| Intense| Violence| NudityStrong| Language| Strong| Sexual| Content| Use| of| Drugs| Use| of| Alcohol
546560,null,
304390,m,Blood| and| Gore| Intense| Violence
826630,null,
613100,null,
1225330,m,Interactive| Elements| In-Game| Purchases| Users| Interact
281990,m,Fantasy| Violence| Interactive| Elements| Users| Interact
703080,m,Mild| Blood| Mild| Violence| Crude| Humor
261550,null,
107410,m,Intense| Violence| BloodStrong| Language
782330,m,Blood| and| Gore| Intense| Violence| Interactive| Elements| Users| Interact
1213210,m,Blood| ViolenceMild| Language| Use| of| Alcohol| Use| of| Tobacco
1222140,m,"Blood,| Intense| Violence,| Partial| Nudity,| Sexual| Themes,| Strong| Language,| Use| of| Drugs"
292030,m,Blood| and| Gore| Intense| Violence| NudityStrong| Language| Strong| Sexual| Content| Use| of| Alcohol
4000,null,
1343612,null,
589290,null,
870780,m,Blood| Strong| Language| Violence
617290,m,Blood| Strong| Language| ViolenceInteractive| Elements| Users| Interact
905370,null,
1041320,null,
379430,m,"Blood| and| Gore,| Intense| Violence,| Nudity,| Strong| Language,| Strong| Sexual| Content,| Use| of| Alcohol"
218620,null,
779340,m,Violence| Interactive| Elements| Users| Interact
686810,null,
493520,null,
270880,null,
787860,null,
996580,m,Cartoon| Violence| Comic| Mischief
813780,m,Mild| Blood| Mild| Language| ViolenceInteractive| Elements| Users| Interact
284160,null,
228380,m,Mild| Lyrics| Mild| Violence
1222730,null,
594650,m,Blood| and| Gore| Violence
393380,null,
8500,m,Violence
1016870,m,Language| Sexual| Themes| Partial| Nudity| Use| of| Alcohol| and| Tobacco| ViolenceBlood
394360,null,
803330,m,Animated| Blood| Crude| Humor| Drug| Reference| LanguageSexual| Themes| Violence
1113000,m,Alcohol| Reference| Animated| Blood| LanguagePartial| Nudity| Sexual| Themes| Violence
883710,m,Blood| and| Gore| Intense| Violence| Strong| Language
1190460,null,
581320,null,
264710,m,Fantasy| Violence| Mild| Language
972660,m,Language| Use| of| Tobacco| Violent| References
739630,null,
812140,m,"Blood| and| Gore,| Intense| Violence,| Sexual| Themes,| Strong| Language,Interactive| elements:| In-Game| Purchases"
367500,m,"Blood| and| Gore,| Partial| Nudity,| Suggestive| Themes,| Violence"
971995,null,
970830,null,
640820,null,
1217060,null,
971999,null,
814380,m,Blood| and| Gore| Violence
200210,null,
518790,m,"Mild| Blood,| Violence"
444090,m,Violence
552500,null,
322330,null,
22380,m,Blood| and| Gore| Intense| Violence| Sexual| Content| Strong| Language| Use| of| Drugs
374320,m,Blood| Violence
266410,null,
239140,m,Blood| and| Gore| Intense| Violence| Strong| Language
1377380,null,
1239520,m,Mild| Lyrics| Interactive| Elements| Users| Interact| In-Game| Purchases| (Includes| Random| Items)
960090,null,
610370,m,Blood| Strong| Language| Suggestive| Themes| Violence
392110,m,Fantasy| Violence| Mild| Suggestive| Themes
223750,null,
858810,null,
466560,null,
361420,null,
1149640,null,
947510,m,Drug| Reference| LanguageMild| Violence| Suggestive| Themes
761890,null,
418370,m,Blood| and| Gore| Intense| Violence| Strong| Language
645630,null,
555160,null,
364360,m,"Mild| Blood,| Mild| Language,| Violence"
